theme,word,nombre,ok
1,petit,546
1,être,529
1,sont,526
1,aujourdhui,525,1
1,encore,520
1,notre,514
1,son,508
1,très,507
1,top,503
1,après,493
1,peu,490
1,bonne,482
1,nouveau,459
1,vais,458
1,maintenant,455
1,lets,439
1,monde,439
1,cétait,437
1,avant,433
1,tournoi,416
1,aussi,415
1,team,411
1,aux,411
1,and,408
1,temps,401
1,allez,395
1,for,394
1,quil,378
1,vos,377
1,donc,376
1,sera,372
1,jouer,371
1,votre,370
1,juste,364
1,amis,362
1,sans,350
1,quoi,350
1,fois,349
1,ils,349
1,toujours,345
1,pgw,345
1,parti,339
1,retour,335
1,contre,335
1,soirée,334
1,solary,334
1,quon,334
1,moment,334
1,super,333
1,enfin,330
1,gagner,330
1,stand,329
1,video,327
1,alors,323
1,vie,317
1,ces,315
1,chez,312
1,déjà,310
1,jour,310
1,elle,310
1,fin,310
1,coup,304
1,tellement,301
1,gros,300
1,beaucoup,298
1,jamais,297
1,depuis,297
1,jours,295
1,avoir,295
1,nintendoswitch,294
1,journée,288
1,rien,284
1,ont,283
1,jeux,283
1,meilleur,283
1,deux,281
1,part,278
1,nuit,278
1,quelques,275
1,fais,274
1,gens,274
1,suite,272
1,chaîne,268
1,peut,268
1,venez,265
1,oui,265
1,ans,264
1,twitch,257
1,dire,257
1,été,256
1,jsuis,255
1,cool,255
1,dun,255
1,duo,254
1,grand,253
1,plaisir,253
1,voici,253
1,incroyable,251
1,semaine,251
1,you,249
1,lui,248
1,match,248
1,pendant,246
1,car,245
1,faut,245
1,france,244
1,puis,242
1,best,241
1,nos,240
1,matin,238
1,petite,237
1,kayane,234
1,avez,229
1,games,229
1,ceux,228
1,premier,228
1,êtes,227
1,putain,226
1,mois,226
1,dernière,225
1,normangenius,224
1,toute,222
1,vidéos,222
1,commence,222
1,finale,221
1,mode,219
1,toutes,217
1,mal,216
1,saison,215
1,passe,214
1,première,214
1,2018,214
1,non,206
1,20h,205
1,minutes,204
1,quelle,203
1,with,203
1,tes,203
1,direct,203
1,viens,199
1,tweet,199
1,this,199
1,joue,197
1,photo,197
1,fou,196
1,pubg,196
1,comment,195
1,paris,195
1,était,194
1,ses,194
1,quel,194
1,toi,193
1,entre,193
1,lol,191
1,jusquà,189
1,voilà,188
1,train,188
1,joueurs,188
1,jespère,188
1,potes,187
1,luttilutti_,187
1,perso,187
1,dêtre,186
1,passer,185
1,concours,184
1,davoir,183
1,leur,183
1,sais,183
1,moins,182
1,noob,181
1,rdv,181
1,dit,179
1,beau,177
1,cet,177
1,roilennon,177
1,vrai,177
1,mythixtrinity,177
1,envie,175
1,soulcaliburvi,175
1,bientôt,174
1,mdr,174
1,peux,174
1,hop,173
1,arrive,172
1,hâte,170
1,partir,169
1,compte,169
1,ton,169
1,sort,168
1,dune,167
1,lheure,167
1,dernier,166
1,scène,164
1,21h,163
1,rendezvous,162
1,place,161
1,bonjour,161
1,twitter,160
1,jaime,159
1,chance,157
1,aller,157
